Date,District,Warehouse_Name,Number_of_Guards,Police_Units
2024-01-26,Мышеостровский,Колбасовы,7,6
2024-01-26,Мышеостровский,Молочковы,10,9
2024-01-26,Мышеостровский,Мятновы,8,8
2024-01-26,Мышеостровский,Сметанинковы,8,7
2024-01-26,Краснокотейский,Колбасовы,7,6
2024-01-26,Краснокотейский,Молочковы,6,4
2024-01-26,Краснокотейский,Мятновы,7,6
2024-01-26,Краснокотейский,Сметанинковы,2,1
2024-01-26,Мышесельский,Колбасовы,6,4
2024-01-26,Мышесельский,Молочковы,2,1
2024-01-26,Мышесельский,Мятновы,10,8
2024-01-26,Мышесельский,Сметанинковы,5,4
2024-01-26,Петрокотский,Колбасовы,9,8
2024-01-26,Петрокотский,Молочковы,10,9
2024-01-26,Петрокотский,Мятновы,3,1
2024-01-26,Петрокотский,Сметанинковы,3,1
2024-01-26,Приморский,Колбасовы,5,3
2024-01-26,Приморский,Молочковы,5,4
2024-01-26,Приморский,Мятновы,6,4
2024-01-26,Приморский,Сметанинковы,8,7
2024-01-26,Невский,Колбасовы,2,2
2024-01-26,Невский,Молочковы,2,2
2024-01-26,Невский,Мятновы,10,8
2024-01-26,Невский,Сметанинковы,1,1
2024-01-25,Мышеостровский,Колбасовы,9,8
2024-01-25,Мышеостровский,Молочковы,7,6
2024-01-25,Мышеостровский,Мятновы,4,2
2024-01-25,Мышеостровский,Сметанинковы,10,9
2024-01-25,Краснокотейский,Колбасовы,4,4
2024-01-25,Краснокотейский,Молочковы,4,4
2024-01-25,Краснокотейский,Мятновы,2,1
2024-01-25,Краснокотейский,Сметанинковы,10,8
2024-01-25,Мышесельский,Колбасовы,4,4
2024-01-25,Мышесельский,Молочковы,6,4
2024-01-25,Мышесельский,Мятновы,8,6
2024-01-25,Мышесельский,Сметанинковы,9,7
2024-01-25,Петрокотский,Колбасовы,4,3
2024-01-25,Петрокотский,Молочковы,10,9
2024-01-25,Петрокотский,Мятновы,3,3
2024-01-25,Петрокотский,Сметанинковы,8,6
2024-01-25,Приморский,Колбасовы,7,5
2024-01-25,Приморский,Молочковы,9,9
2024-01-25,Приморский,Мятновы,2,1
2024-01-25,Приморский,Сметанинковы,9,9
2024-01-25,Невский,Колбасовы,6,4
2024-01-25,Невский,Молочковы,2,2
2024-01-25,Невский,Мятновы,6,5
2024-01-25,Невский,Сметанинковы,6,5
2024-01-24,Мышеостровский,Колбасовы,2,2
2024-01-24,Мышеостровский,Молочковы,4,3
2024-01-24,Мышеостровский,Мятновы,4,4
2024-01-24,Мышеостровский,Сметанинковы,2,2
2024-01-24,Краснокотейский,Колбасовы,6,4
2024-01-24,Краснокотейский,Молочковы,9,7
2024-01-24,Краснокотейский,Мятновы,4,4
2024-01-24,Краснокотейский,Сметанинковы,4,4
2024-01-24,Мышесельский,Колбасовы,10,8
2024-01-24,Мышесельский,Молочковы,8,6
2024-01-24,Мышесельский,Мятновы,4,4
2024-01-24,Мышесельский,Сметанинковы,9,7
2024-01-24,Петрокотский,Колбасовы,7,5
2024-01-24,Петрокотский,Молочковы,7,5
2024-01-24,Петрокотский,Мятновы,8,6
2024-01-24,Петрокотский,Сметанинковы,9,9
2024-01-24,Приморский,Колбасовы,3,1
2024-01-24,Приморский,Молочковы,7,5
2024-01-24,Приморский,Мятновы,4,3
2024-01-24,Приморский,Сметанинковы,7,5
2024-01-24,Невский,Колбасовы,4,4
2024-01-24,Невский,Молочковы,7,7
2024-01-24,Невский,Мятновы,8,8
2024-01-24,Невский,Сметанинковы,6,6
2024-01-23,Мышеостровский,Колбасовы,6,4
2024-01-23,Мышеостровский,Молочковы,8,7
2024-01-23,Мышеостровский,Мятновы,1,1
2024-01-23,Мышеостровский,Сметанинковы,3,1
2024-01-23,Краснокотейский,Колбасовы,3,1
2024-01-23,Краснокотейский,Молочковы,9,8
2024-01-23,Краснокотейский,Мятновы,3,3
2024-01-23,Краснокотейский,Сметанинковы,4,4
2024-01-23,Мышесельский,Колбасовы,4,3
2024-01-23,Мышесельский,Молочковы,2,2
2024-01-23,Мышесельский,Мятновы,11,9
2024-01-23,Мышесельский,Сметанинковы,3,3
2024-01-23,Петрокотский,Колбасовы,8,6
2024-01-23,Петрокотский,Молочковы,7,5
2024-01-23,Петрокотский,Мятновы,4,4
2024-01-23,Петрокотский,Сметанинковы,3,1
2024-01-23,Приморский,Колбасовы,4,4
2024-01-23,Приморский,Молочковы,9,8
2024-01-23,Приморский,Мятновы,9,7
2024-01-23,Приморский,Сметанинковы,5,3
2024-01-23,Невский,Колбасовы,5,5
2024-01-23,Невский,Молочковы,7,5
2024-01-23,Невский,Мятновы,7,6
2024-01-23,Невский,Сметанинковы,1,1
2024-01-22,Мышеостровский,Колбасовы,11,9
2024-01-22,Мышеостровский,Молочковы,10,8
2024-01-22,Мышеостровский,Мятновы,3,3
2024-01-22,Мышеостровский,Сметанинковы,9,8
2024-01-22,Краснокотейский,Колбасовы,6,6
2024-01-22,Краснокотейский,Молочковы,5,4
2024-01-22,Краснокотейский,Мятновы,4,2
2024-01-22,Краснокотейский,Сметанинковы,4,3
2024-01-22,Мышесельский,Колбасовы,10,9
2024-01-22,Мышесельский,Молочковы,2,2
2024-01-22,Мышесельский,Мятновы,6,6
2024-01-22,Мышесельский,Сметанинковы,3,1
2024-01-22,Петрокотский,Колбасовы,11,9
2024-01-22,Петрокотский,Молочковы,1,1
2024-01-22,Петрокотский,Мятновы,1,1
2024-01-22,Петрокотский,Сметанинковы,4,4
2024-01-22,Приморский,Колбасовы,9,9
2024-01-22,Приморский,Молочковы,5,3
2024-01-22,Приморский,Мятновы,6,5
2024-01-22,Приморский,Сметанинковы,9,8
2024-01-22,Невский,Колбасовы,9,8
2024-01-22,Невский,Молочковы,2,2
2024-01-22,Невский,Мятновы,6,5
2024-01-22,Невский,Сметанинковы,9,8
2024-01-21,Мышеостровский,Колбасовы,4,4
2024-01-21,Мышеостровский,Молочковы,7,6
2024-01-21,Мышеостровский,Мятновы,1,1
2024-01-21,Мышеостровский,Сметанинковы,3,2
2024-01-21,Краснокотейский,Колбасовы,8,8
2024-01-21,Краснокотейский,Молочковы,8,7
2024-01-21,Краснокотейский,Мятновы,4,3
2024-01-21,Краснокотейский,Сметанинковы,10,9
2024-01-21,Мышесельский,Колбасовы,2,2
2024-01-21,Мышесельский,Молочковы,3,3
2024-01-21,Мышесельский,Мятновы,2,1
2024-01-21,Мышесельский,Сметанинковы,5,5
2024-01-21,Петрокотский,Колбасовы,4,4
2024-01-21,Петрокотский,Молочковы,6,6
2024-01-21,Петрокотский,Мятновы,7,5
2024-01-21,Петрокотский,Сметанинковы,7,7
2024-01-21,Приморский,Колбасовы,10,9
2024-01-21,Приморский,Молочковы,4,4
2024-01-21,Приморский,Мятновы,4,3
2024-01-21,Приморский,Сметанинковы,7,7
2024-01-21,Невский,Колбасовы,4,4
2024-01-21,Невский,Молочковы,7,7
2024-01-21,Невский,Мятновы,6,5
2024-01-21,Невский,Сметанинковы,1,1
2024-01-20,Мышеостровский,Колбасовы,3,3
2024-01-20,Мышеостровский,Молочковы,4,3
2024-01-20,Мышеостровский,Мятновы,11,9
2024-01-20,Мышеостровский,Сметанинковы,4,3
2024-01-20,Краснокотейский,Колбасовы,3,2
2024-01-20,Краснокотейский,Молочковы,10,8
2024-01-20,Краснокотейский,Мятновы,9,9
2024-01-20,Краснокотейский,Сметанинковы,4,4
2024-01-20,Мышесельский,Колбасовы,3,2
2024-01-20,Мышесельский,Молочковы,6,4
2024-01-20,Мышесельский,Мятновы,8,7
2024-01-20,Мышесельский,Сметанинковы,3,3
2024-01-20,Петрокотский,Колбасовы,8,6
2024-01-20,Петрокотский,Молочковы,4,2
2024-01-20,Петрокотский,Мятновы,3,2
2024-01-20,Петрокотский,Сметанинковы,5,5
2024-01-20,Приморский,Колбасовы,4,2
2024-01-20,Приморский,Молочковы,9,8
2024-01-20,Приморский,Мятновы,1,1
2024-01-20,Приморский,Сметанинковы,9,7
2024-01-20,Невский,Колбасовы,4,2
2024-01-20,Невский,Молочковы,4,3
2024-01-20,Невский,Мятновы,3,2
2024-01-20,Невский,Сметанинковы,5,5
2024-01-19,Мышеостровский,Колбасовы,6,5
2024-01-19,Мышеостровский,Молочковы,8,8
2024-01-19,Мышеостровский,Мятновы,5,5
2024-01-19,Мышеостровский,Сметанинковы,10,9
2024-01-19,Краснокотейский,Колбасовы,4,4
2024-01-19,Краснокотейский,Молочковы,7,6
2024-01-19,Краснокотейский,Мятновы,9,7
2024-01-19,Краснокотейский,Сметанинковы,8,8
2024-01-19,Мышесельский,Колбасовы,11,9
2024-01-19,Мышесельский,Молочковы,6,4
2024-01-19,Мышесельский,Мятновы,3,3
2024-01-19,Мышесельский,Сметанинковы,1,1
2024-01-19,Петрокотский,Колбасовы,5,3
2024-01-19,Петрокотский,Молочковы,7,5
2024-01-19,Петрокотский,Мятновы,7,5
2024-01-19,Петрокотский,Сметанинковы,4,3
2024-01-19,Приморский,Колбасовы,3,1
2024-01-19,Приморский,Молочковы,2,2
2024-01-19,Приморский,Мятновы,9,7
2024-01-19,Приморский,Сметанинковы,8,8
2024-01-19,Невский,Колбасовы,10,8
2024-01-19,Невский,Молочковы,7,6
2024-01-19,Невский,Мятновы,8,7
2024-01-19,Невский,Сметанинковы,5,5
2024-01-18,Мышеостровский,Колбасовы,1,1
2024-01-18,Мышеостровский,Молочковы,8,8
2024-01-18,Мышеостровский,Мятновы,4,3
2024-01-18,Мышеостровский,Сметанинковы,9,8
2024-01-18,Краснокотейский,Колбасовы,7,6
2024-01-18,Краснокотейский,Молочковы,9,7
2024-01-18,Краснокотейский,Мятновы,6,6
2024-01-18,Краснокотейский,Сметанинковы,8,6
2024-01-18,Мышесельский,Колбасовы,7,5
2024-01-18,Мышесельский,Молочковы,1,1
2024-01-18,Мышесельский,Мятновы,3,3
2024-01-18,Мышесельский,Сметанинковы,6,6
2024-01-18,Петрокотский,Колбасовы,8,8
2024-01-18,Петрокотский,Молочковы,1,1
2024-01-18,Петрокотский,Мятновы,3,1
2024-01-18,Петрокотский,Сметанинковы,1,1
2024-01-18,Приморский,Колбасовы,6,5
2024-01-18,Приморский,Молочковы,6,4
2024-01-18,Приморский,Мятновы,1,1
2024-01-18,Приморский,Сметанинковы,7,5
2024-01-18,Невский,Колбасовы,8,8
2024-01-18,Невский,Молочковы,8,7
2024-01-18,Невский,Мятновы,11,9
2024-01-18,Невский,Сметанинковы,9,8
2024-01-17,Мышеостровский,Колбасовы,4,2
2024-01-17,Мышеостровский,Молочковы,7,7
2024-01-17,Мышеостровский,Мятновы,2,1
2024-01-17,Мышеостровский,Сметанинковы,5,5
2024-01-17,Краснокотейский,Колбасовы,8,7
2024-01-17,Краснокотейский,Молочковы,7,6
2024-01-17,Краснокотейский,Мятновы,4,4
2024-01-17,Краснокотейский,Сметанинковы,4,3
2024-01-17,Мышесельский,Колбасовы,3,2
2024-01-17,Мышесельский,Молочковы,5,5
2024-01-17,Мышесельский,Мятновы,10,8
2024-01-17,Мышесельский,Сметанинковы,6,6
2024-01-17,Петрокотский,Колбасовы,10,9
2024-01-17,Петрокотский,Молочковы,4,3
2024-01-17,Петрокотский,Мятновы,3,1
2024-01-17,Петрокотский,Сметанинковы,9,9
2024-01-17,Приморский,Колбасовы,7,7
2024-01-17,Приморский,Молочковы,6,5
2024-01-17,Приморский,Мятновы,6,4
2024-01-17,Приморский,Сметанинковы,7,7
2024-01-17,Невский,Колбасовы,8,6
2024-01-17,Невский,Молочковы,6,5
2024-01-17,Невский,Мятновы,4,4
2024-01-17,Невский,Сметанинковы,2,2
2024-01-16,Мышеостровский,Колбасовы,7,5
2024-01-16,Мышеостровский,Молочковы,10,8
2024-01-16,Мышеостровский,Мятновы,3,3
2024-01-16,Мышеостровский,Сметанинковы,3,3
2024-01-16,Краснокотейский,Колбасовы,8,7
2024-01-16,Краснокотейский,Молочковы,3,1
2024-01-16,Краснокотейский,Мятновы,9,7
2024-01-16,Краснокотейский,Сметанинковы,11,9
2024-01-16,Мышесельский,Колбасовы,4,4
2024-01-16,Мышесельский,Молочковы,2,1
