Date,District,Warehouse_Name,Percent_of_Crime_Solved,Number_of_Lights
2024-01-26,Мышеостровский,Колбасовы,83.1609595,725
2024-01-26,Мышеостровский,Молочковы,87.75648732,984
2024-01-26,Мышеостровский,Мятновы,87.01012124,1030
2024-01-26,Мышеостровский,Сметанинковы,82.20720262,814
2024-01-26,Краснокотейский,Колбасовы,86.68471551,1035
2024-01-26,Краснокотейский,Молочковы,88.33062749,631
2024-01-26,Краснокотейский,Мятновы,82.61881539,831
2024-01-26,Краснокотейский,Сметанинковы,83.489159,1034
2024-01-26,Мышесельский,Колбасовы,83.27398495,716
2024-01-26,Мышесельский,Молочковы,82.20497085,614
2024-01-26,Мышесельский,Мятновы,86.54546165,1019
2024-01-26,Мышесельский,Сметанинковы,86.77087696,699
2024-01-26,Петрокотский,Колбасовы,84.95661424,779
2024-01-26,Петрокотский,Молочковы,83.2772262,845
2024-01-26,Петрокотский,Мятновы,86.25245025,922
2024-01-26,Петрокотский,Сметанинковы,84.0321164,725
2024-01-26,Приморский,Колбасовы,89.68510563,1137
2024-01-26,Приморский,Молочковы,88.7241894,819
2024-01-26,Приморский,Мятновы,88.3939326,808
2024-01-26,Приморский,Сметанинковы,83.99874438,708
2024-01-26,Невский,Колбасовы,81.85077113,711
2024-01-26,Невский,Молочковы,83.32789939,1094
2024-01-26,Невский,Мятновы,89.59667481,911
2024-01-26,Невский,Сметанинковы,83.71375166,680
2024-01-25,Мышеостровский,Колбасовы,72.37306434,940
2024-01-25,Мышеостровский,Молочковы,75.65802075,696
2024-01-25,Мышеостровский,Мятновы,76.68652322,887
2024-01-25,Мышеостровский,Сметанинковы,77.32035814,747
2024-01-25,Краснокотейский,Колбасовы,72.87363409,821
2024-01-25,Краснокотейский,Молочковы,81.32186434,843
2024-01-25,Краснокотейский,Мятновы,72.34116109,812
2024-01-25,Краснокотейский,Сметанинковы,77.18247178,775
2024-01-25,Мышесельский,Колбасовы,78.47977594,777
2024-01-25,Мышесельский,Молочковы,78.4912595,648
2024-01-25,Мышесельский,Мятновы,79.86818965,692
2024-01-25,Мышесельский,Сметанинковы,75.58149477,848
2024-01-25,Петрокотский,Колбасовы,74.58810446,873
2024-01-25,Петрокотский,Молочковы,75.61810388,791
2024-01-25,Петрокотский,Мятновы,75.9949509,561
2024-01-25,Петрокотский,Сметанинковы,77.73354569,748
2024-01-25,Приморский,Колбасовы,76.9449277,794
2024-01-25,Приморский,Молочковы,76.77456155,821
2024-01-25,Приморский,Мятновы,76.08388915,832
2024-01-25,Приморский,Сметанинковы,77.67801957,859
2024-01-25,Невский,Колбасовы,81.34720629,734
2024-01-25,Невский,Молочковы,79.93302532,783
2024-01-25,Невский,Мятновы,78.28237393,728
2024-01-25,Невский,Сметанинковы,80.18818568,862
2024-01-24,Мышеостровский,Колбасовы,67.94941735,628
2024-01-24,Мышеостровский,Молочковы,67.81149501,442
2024-01-24,Мышеостровский,Мятновы,64.32493579,723
